GI	V2	len	db	Plastic
ERR1713331_spa_contigs_66835_2	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713331_spa_contigs_76498_1	1098	366	WP_039353427.1	PET
ERR1713331_spa_contigs_196913_1	462	154	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1713331_spa_contigs_196913_1	462	154	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1713331_spa_contigs_196913_1	462	154	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1713331_spa_contigs_196913_1	462	154	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1713331_spa_contigs_351721_1	600	200	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713331_spa_contigs_351721_1	600	200	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713331_spa_contigs_351721_1	600	200	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713331_spa_contigs_351721_1	600	200	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713331_spa_contigs_560391_1	438	146	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR1713331_spa_contigs_659360_1	435	145	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR1713331_spa_contigs_705510_1	417	139	AYO90679.1	PE
ERR1713331_spa_contigs_726909_1	408	136	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713331_spa_contigs_786354_1	393	131	WP_085690612.1	PET
ERR1713331_spa_contigs_1430970_1	279	93	AYO90679.1	PE
ERR1713332_spa_contigs_1_138	747	249	sp|P19833|LIP1_MORS1	PET
ERR1713332_spa_contigs_3_39	1635	545	UVG67878.1	PE
ERR1713332_spa_contigs_4940_3	1707	569	UVG67878.1	PE
ERR1713332_spa_contigs_24717_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713332_spa_contigs_24717_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713332_spa_contigs_24717_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713332_spa_contigs_24717_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713332_spa_contigs_25559_2	657	219	WP_085690612.1	PET
ERR1713332_spa_contigs_33133_1	966	322	BAA19791.1	PHAs
ERR1713332_spa_contigs_33133_1	966	322	BAA19791.1	PEA
ERR1713332_spa_contigs_33133_1	966	322	BAA19791.1	PES
ERR1713332_spa_contigs_457932_1	312	104	AYO90679.1	PE
ERR1713333_spa_contigs_12727_1	1353	451	UVG67878.1	PE
ERR1713334_spa_contigs_78335_1	657	219	WP_085690612.1	PET
ERR1713334_spa_contigs_149116_1	828	276	AAD03558.1	PAE
ERR1713334_spa_contigs_261384_1	465	155	WP_085690612.1	PET
ERR1713334_spa_contigs_278836_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713334_spa_contigs_278836_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713334_spa_contigs_278836_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713334_spa_contigs_278836_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713335_spa_contigs_25817_1	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713335_spa_contigs_25817_1	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713335_spa_contigs_25817_1	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713335_spa_contigs_25817_1	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713335_spa_contigs_64292_1	1143	381	UVG67878.1	PE
ERR1713335_spa_contigs_71212_1	732	244	AAD03558.1	PAE
ERR1713335_spa_contigs_73182_2	756	252	BAA19791.1	PHAs
ERR1713335_spa_contigs_73182_2	756	252	BAA19791.1	PEA
ERR1713335_spa_contigs_73182_2	756	252	BAA19791.1	PES
ERR1713335_spa_contigs_166414_1	765	255	BAA19791.1	PHAs
ERR1713335_spa_contigs_166414_1	765	255	BAA19791.1	PEA
ERR1713335_spa_contigs_166414_1	765	255	BAA19791.1	PES
ERR1713335_spa_contigs_809367_1	330	110	BAE47078.1	TP
ERR1713336_spa_contigs_219452_2	309	103	BAE47078.1	TP
ERR1713338_spa_contigs_15011_1	942	314	UVG67878.1	PE
ERR1713339_spa_contigs_38390_1	432	144	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713341_spa_contigs_202255_1	534	178	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1713341_spa_contigs_202255_1	534	178	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1713341_spa_contigs_202255_1	534	178	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1713341_spa_contigs_202255_1	534	178	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1713341_spa_contigs_245375_1	396	132	WP_085690612.1	PET
ERR1713341_spa_contigs_315379_1	441	147	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713341_spa_contigs_315379_1	441	147	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713341_spa_contigs_315379_1	441	147	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713341_spa_contigs_315379_1	441	147	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_1979_3	783	261	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR1713342_spa_contigs_7929_3	1347	449	BAO20806.1	PHAs
ERR1713342_spa_contigs_8103_3	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_8103_3	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_8103_3	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_8103_3	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_19353_2	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_19353_2	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_19353_2	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_19353_2	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_25928_1	657	219	WP_085690612.1	PET
ERR1713342_spa_contigs_90167_1	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_90167_1	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_90167_1	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_90167_1	891	297	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_105324_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_105324_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_105324_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_105324_1	846	282	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_108847_1	660	220	WP_085690612.1	PET
ERR1713342_spa_contigs_132543_1	675	225	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_132543_1	675	225	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_132543_1	675	225	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_132543_1	675	225	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_142378_1	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1713342_spa_contigs_142378_1	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1713342_spa_contigs_142378_1	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1713342_spa_contigs_142378_1	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1713342_spa_contigs_146282_2	765	255	BAA19791.1	PHAs
ERR1713342_spa_contigs_146282_2	765	255	BAA19791.1	PEA
ERR1713342_spa_contigs_146282_2	765	255	BAA19791.1	PES
ERR1713342_spa_contigs_150618_1	1059	353	AAD03558.1	PAE
ERR1713342_spa_contigs_151574_2	423	141	WP_085690612.1	PET
ERR1713342_spa_contigs_167863_2	657	219	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1713342_spa_contigs_167863_2	657	219	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1713342_spa_contigs_167863_2	657	219	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1713342_spa_contigs_167863_2	657	219	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1713342_spa_contigs_199790_1	546	182	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_199790_1	546	182	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_199790_1	546	182	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_199790_1	546	182	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_232487_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_232487_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_232487_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_232487_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_256397_1	510	170	WP_085690612.1	PET
ERR1713342_spa_contigs_395973_1	627	209	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_395973_1	627	209	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_395973_1	627	209	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_395973_1	627	209	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_411322_1	627	209	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_411322_1	627	209	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_411322_1	627	209	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_411322_1	627	209	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_424843_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_424843_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_424843_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_424843_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_449329_1	597	199	ACL79592.1	DBP
ERR1713342_spa_contigs_450008_1	597	199	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_450008_1	597	199	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_450008_1	597	199	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_450008_1	597	199	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_569914_1	525	175	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713342_spa_contigs_569914_1	525	175	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713342_spa_contigs_569914_1	525	175	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713342_spa_contigs_569914_1	525	175	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713342_spa_contigs_634796_1	492	164	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR1713342_spa_contigs_1016756_1	381	127	00061||Alkane_hydroxylase||Pseudomonas_sp.||PE	PE
ERR1713342_spa_contigs_1141082_1	294	98	BAE47078.1	TP
ERR1713344_spa_contigs_231680_1	876	292	BAA35137.1	PHAs
ERR1713344_spa_contigs_231680_1	876	292	BAA35137.1	PPL
ERR1713344_spa_contigs_999921_1	534	178	AAN70570.1	PHAs
ERR1713345_spa_contigs_224957_1	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713345_spa_contigs_263964_1	522	174	AAN70570.1	PHAs
ERR1713346_spa_contigs_121087_2	429	143	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713346_spa_contigs_135312_1	885	295	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713346_spa_contigs_135312_1	885	295	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713346_spa_contigs_135312_1	885	295	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713346_spa_contigs_135312_1	885	295	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713346_spa_contigs_149216_2	336	112	WP_085690612.1	PET
ERR1713346_spa_contigs_204679_1	438	146	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713347_spa_contigs_42887_1	657	219	WP_085690612.1	PET
ERR1713347_spa_contigs_113326_1	732	244	WP_085690612.1	PET
ERR1713348_spa_contigs_4569_2	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713349_spa_contigs_48810_1	1020	340	BAA19791.1	PHAs
ERR1713349_spa_contigs_48810_1	1020	340	BAA19791.1	PEA
ERR1713349_spa_contigs_48810_1	1020	340	BAA19791.1	PES
ERR1713349_spa_contigs_50892_2	1701	567	UVG67878.1	PE
ERR1713349_spa_contigs_91416_2	1179	393	BAA19791.1	PHAs
ERR1713349_spa_contigs_91416_2	1179	393	BAA19791.1	PEA
ERR1713349_spa_contigs_91416_2	1179	393	BAA19791.1	PES
ERR1713349_spa_contigs_274565_1	498	166	AAA64538.1	PHAs
ERR1713349_spa_contigs_300522_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713349_spa_contigs_300522_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713349_spa_contigs_300522_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713349_spa_contigs_300522_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713349_spa_contigs_306648_1	876	292	BAA19791.1	PHAs
ERR1713349_spa_contigs_306648_1	876	292	BAA19791.1	PEA
ERR1713349_spa_contigs_306648_1	876	292	BAA19791.1	PES
ERR1713349_spa_contigs_328397_1	846	282	BAA19791.1	PHAs
ERR1713349_spa_contigs_328397_1	846	282	BAA19791.1	PEA
ERR1713349_spa_contigs_328397_1	846	282	BAA19791.1	PES
ERR1713349_spa_contigs_498355_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713349_spa_contigs_498355_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713349_spa_contigs_498355_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713349_spa_contigs_498355_1	594	198	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713349_spa_contigs_571800_1	627	209	AAN70570.1	PHAs
ERR1713349_spa_contigs_605948_1	603	201	jmPE14	PET
ERR1713349_spa_contigs_605948_1	603	201	jmPE14	PBAT
ERR1713350_spa_contigs_46299_1	807	269	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713350_spa_contigs_46299_1	807	269	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713350_spa_contigs_46299_1	807	269	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713350_spa_contigs_46299_1	807	269	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713350_spa_contigs_117510_1	1368	456	UVG67878.1	PE
ERR1713350_spa_contigs_196014_1	945	315	BAA19791.1	PHAs
ERR1713350_spa_contigs_196014_1	945	315	BAA19791.1	PEA
ERR1713350_spa_contigs_196014_1	945	315	BAA19791.1	PES
ERR1713350_spa_contigs_264536_1	966	322	AAD03558.1	PAE
ERR1713350_spa_contigs_423159_1	519	173	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713350_spa_contigs_423159_1	519	173	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713350_spa_contigs_423159_1	519	173	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713350_spa_contigs_423159_1	519	173	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713350_spa_contigs_443923_1	669	223	AAA64538.1	PHAs
ERR1713350_spa_contigs_461662_1	495	165	AAN70570.1	PHAs
ERR1713350_spa_contigs_892603_1	444	148	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713350_spa_contigs_892603_1	444	148	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713350_spa_contigs_892603_1	444	148	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713350_spa_contigs_892603_1	444	148	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713350_spa_contigs_924382_1	474	158	AAN70570.1	PHAs
ERR1713350_spa_contigs_1054377_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713350_spa_contigs_1054377_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713350_spa_contigs_1054377_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713350_spa_contigs_1054377_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713351_spa_contigs_58038_1	777	259	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713351_spa_contigs_58038_1	777	259	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713351_spa_contigs_58038_1	777	259	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713351_spa_contigs_58038_1	777	259	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713351_spa_contigs_139184_1	954	318	BAA19791.1	PHAs
ERR1713351_spa_contigs_139184_1	954	318	BAA19791.1	PEA
ERR1713351_spa_contigs_139184_1	954	318	BAA19791.1	PES
ERR1713351_spa_contigs_349076_1	609	203	AAN70570.1	PHAs
ERR1713351_spa_contigs_520998_1	468	156	AAA64538.1	PHAs
ERR1713352_spa_contigs_4573_7	627	209	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713352_spa_contigs_6318_2	657	219	WP_085690612.1	PET
ERR1713352_spa_contigs_12938_4	348	116	BAE47078.1	TP
ERR1713352_spa_contigs_29679_1	777	259	WP_085690612.1	PET
ERR1713352_spa_contigs_29829_1	657	219	WP_085690612.1	PET
ERR1713352_spa_contigs_54759_1	780	260	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713352_spa_contigs_54759_1	780	260	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713352_spa_contigs_54759_1	780	260	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713352_spa_contigs_54759_1	780	260	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713352_spa_contigs_96559_2	1242	414	BAE47077.1	TP
ERR1713352_spa_contigs_106142_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713352_spa_contigs_106142_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713352_spa_contigs_106142_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713352_spa_contigs_106142_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713352_spa_contigs_127024_1	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713352_spa_contigs_130424_1	1218	406	UVG67878.1	PE
ERR1713352_spa_contigs_368481_1	501	167	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713352_spa_contigs_418836_1	549	183	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713352_spa_contigs_457255_1	501	167	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1713352_spa_contigs_457255_1	501	167	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1713352_spa_contigs_457255_1	501	167	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1713352_spa_contigs_457255_1	501	167	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1713352_spa_contigs_483956_1	492	164	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1713352_spa_contigs_483956_1	492	164	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1713352_spa_contigs_483956_1	492	164	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1713352_spa_contigs_483956_1	492	164	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1713352_spa_contigs_683062_1	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1713352_spa_contigs_683062_1	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1713352_spa_contigs_683062_1	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1713352_spa_contigs_683062_1	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1713352_spa_contigs_853436_1	390	130	AYO90679.1	PE
ERR1713352_spa_contigs_999855_1	357	119	WP_085690612.1	PET
ERR1713352_spa_contigs_1462113_1	285	95	AYO90679.1	PE
ERR1713353_spa_contigs_408810_1	450	150	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713354_spa_contigs_22069_2	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1713355_spa_contigs_10666_1	1476	492	UVG67878.1	PE
